"","an","dts","rep","nm","coefs"
"1","linear","normal16","rep1","(Intercept)",5.57384920111309
"2","linear","normal16","rep1","x",-0.135691088332393
"3","linear","normal16","rep1","I(x^2)",0
"4","linear","normal16","rep2","(Intercept)",5.57384920111309
"5","linear","normal16","rep2","x",-0.135691088332393
"6","linear","normal16","rep2","I(x^2)",0
"7","linear","poisson32","rep1","(Intercept)",5.79052132701422
"8","linear","poisson32","rep1","x",-0.493838862559242
"9","linear","poisson32","rep1","I(x^2)",0
"10","linear","poisson32","rep2","(Intercept)",5.79052132701422
"11","linear","poisson32","rep2","x",-0.493838862559242
"12","linear","poisson32","rep2","I(x^2)",0
"13","linear","poisson64","rep1","(Intercept)",5.48601313549015
"14","linear","poisson64","rep1","x",-0.297251277061542
"15","linear","poisson64","rep1","I(x^2)",0
"16","linear","poisson64","rep2","(Intercept)",5.48601313549015
"17","linear","poisson64","rep2","x",-0.297251277061542
"18","linear","poisson64","rep2","I(x^2)",0
"19","quadratic","normal16","rep1","(Intercept)",5.58449834106369
"20","quadratic","normal16","rep1","x",-0.161918329912263
"21","quadratic","normal16","rep1","I(x^2)",0.00922501378751015
"22","quadratic","normal16","rep2","(Intercept)",5.58449834106369
"23","quadratic","normal16","rep2","x",-0.161918329912263
"24","quadratic","normal16","rep2","I(x^2)",0.00922501378751015
"25","quadratic","poisson32","rep1","(Intercept)",5.81521295414342
"26","quadratic","poisson32","rep1","x",-0.573105184378825
"27","quadratic","poisson32","rep1","I(x^2)",0.0272486052524144
"28","quadratic","poisson32","rep2","(Intercept)",5.81521295414342
"29","quadratic","poisson32","rep2","x",-0.573105184378825
"30","quadratic","poisson32","rep2","I(x^2)",0.0272486052524144
"31","quadratic","poisson64","rep1","(Intercept)",5.90440172287005
"32","quadratic","poisson64","rep1","x",-1.50156704135588
"33","quadratic","poisson64","rep1","I(x^2)",0.410696151556535
"34","quadratic","poisson64","rep2","(Intercept)",5.90440172287005
"35","quadratic","poisson64","rep2","x",-1.50156704135588
"36","quadratic","poisson64","rep2","I(x^2)",0.410696151556535
